"id","session","handle","remote","offer","sdp","timestamp"
76,5659022964598328,7505575649018589,false,true,"v=0
o=FreeSWITCH 1620841627 1620841628 IN IP4 XX.XX.XX.XX
s=FreeSWITCH
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS janus
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 XX.XX.XX.XX
a=sendrecv
a=mid:audio
a=rtcp-mux
a=ice-ufrag:RC9j
a=ice-pwd:3uYpn4N2cWUwuy7HN1EdYS
a=ice-options:trickle
a=fingerprint:sha-256 DA:3B:2D:F5:E3:49:31:72:CA:B0:EA:E8:35:DC:93:C0:BE:69:27:4B:90:8C:73:74:2E:34:23:ED:13:A3:B9:C0
a=setup:actpass
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=fmtp:101 0-16
a=ptime:20
a=msid:janus janusa0
a=ssrc:499612416 cname:janus
a=ssrc:499612416 msid:janus janusa0
a=ssrc:499612416 mslabel:janus
a=ssrc:499612416 label:janusa0
a=candidate:1 1 udp 2015363583 192.168.2.82 33586 typ host
a=candidate:4 1 udp 2015363327 XX.XX.XX.XX 52491 typ host
a=end-of-candidates
",2021-05-13 07:42:27.000
77,5659022964598328,7505575649018589,true,false,"v=0
o=- 975778918315690058 2 IN IP4 127.0.0.1
s=-
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS yU1oHJKXRUouZG7DtO1SLMmu7677v0Vxcw4J
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 0.0.0.0
a=rtcp:9 IN IP4 0.0.0.0
a=ice-ufrag:Gv3W
a=ice-pwd:eaC5KpPtJIAM17u/pxG7BaTA
a=ice-options:trickle
a=fingerprint:sha-256 CB:1F:CB:60:45:E2:E4:A3:38:4A:2C:B8:22:10:E0:DD:73:7F:97:D6:61:DC:2D:E3:6A:08:C4:68:98:20:ED:58
a=setup:active
a=mid:audio
a=sendrecv
a=msid:yU1oHJKXRUouZG7DtO1SLMmu7677v0Vxcw4J e3a6c310-51ad-4f08-9b24-375491d941b3
a=rtcp-mux
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=ssrc:1217119503 cname:VmCMlY00bSQ7pgNq
",2021-05-13 07:42:33.000
78,5824895028972388,7015718074529657,false,true,"v=0
o=FreeSWITCH 1620847406 1620847407 IN IP4 XX.XX.XX.XX
s=FreeSWITCH
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS janus
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 XX.XX.XX.XX
a=sendrecv
a=mid:audio
a=rtcp-mux
a=ice-ufrag:F1+o
a=ice-pwd:SkGE48CM9CzGiw/gW6f7Q2
a=ice-options:trickle
a=fingerprint:sha-256 DA:3B:2D:F5:E3:49:31:72:CA:B0:EA:E8:35:DC:93:C0:BE:69:27:4B:90:8C:73:74:2E:34:23:ED:13:A3:B9:C0
a=setup:actpass
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=fmtp:101 0-16
a=ptime:20
a=msid:janus janusa0
a=ssrc:143207308 cname:janus
a=ssrc:143207308 msid:janus janusa0
a=ssrc:143207308 mslabel:janus
a=ssrc:143207308 label:janusa0
a=candidate:1 1 udp 2015363583 192.168.2.82 51421 typ host
a=candidate:4 1 udp 2015363327 XX.XX.XX.XX 43364 typ host
a=end-of-candidates
",2021-05-13 09:36:28.000
79,5824895028972388,7015718074529657,true,false,"v=0
o=- 5947056461065860640 2 IN IP4 127.0.0.1
s=-
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS Ci8BiXt94wOljzqW8cosklenLt19Z2GOGfPE
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 0.0.0.0
a=rtcp:9 IN IP4 0.0.0.0
a=ice-ufrag:afYI
a=ice-pwd:qx4bRfXForAd2gdwhVmlTAYc
a=ice-options:trickle
a=fingerprint:sha-256 4E:81:AB:22:21:DA:99:7C:EF:7E:DE:C7:E3:C3:BB:1F:ED:D1:EC:88:13:0E:05:60:86:56:97:F0:5A:66:2E:4F
a=setup:active
a=mid:audio
a=sendrecv
a=msid:Ci8BiXt94wOljzqW8cosklenLt19Z2GOGfPE d8b8c570-1d51-4bf9-8e4a-bd90da4d5827
a=rtcp-mux
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=ssrc:1429865240 cname:n306u2nJQfw+7Jve
",2021-05-13 09:36:34.000
80,5824895028972388,7015718074529657,false,true,"v=0
o=FreeSWITCH 1620849028 1620849029 IN IP4 XX.XX.XX.XX
s=FreeSWITCH
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS janus
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 XX.XX.XX.XX
a=sendrecv
a=mid:audio
a=rtcp-mux
a=ice-ufrag:qXfv
a=ice-pwd:V61/ivQLyXH23D7zGMvYfS
a=ice-options:trickle
a=fingerprint:sha-256 DA:3B:2D:F5:E3:49:31:72:CA:B0:EA:E8:35:DC:93:C0:BE:69:27:4B:90:8C:73:74:2E:34:23:ED:13:A3:B9:C0
a=setup:actpass
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=fmtp:101 0-16
a=ptime:20
a=msid:janus janusa0
a=ssrc:2106156186 cname:janus
a=ssrc:2106156186 msid:janus janusa0
a=ssrc:2106156186 mslabel:janus
a=ssrc:2106156186 label:janusa0
a=candidate:1 1 udp 2015363583 192.168.2.82 54445 typ host
a=candidate:4 1 udp 2015363327 XX.XX.XX.XX 35267 typ host
a=end-of-candidates
",2021-05-13 09:37:54.000
81,5824895028972388,7015718074529657,true,false,"v=0
o=- 4973533344532905599 2 IN IP4 127.0.0.1
s=-
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS wYMTpNFKij7CzcLaN2u5APiQxt4M81Ip1k55
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 0.0.0.0
a=rtcp:9 IN IP4 0.0.0.0
a=ice-ufrag:vJfG
a=ice-pwd:lSkQbXIf2AVW5NeXTr/zgGj1
a=ice-options:trickle
a=fingerprint:sha-256 00:99:A8:8E:67:EE:8D:6B:C0:92:D5:DA:86:E8:2A:34:5A:3B:29:C8:F6:42:D1:08:D4:76:4C:69:12:59:10:1A
a=setup:active
a=mid:audio
a=sendrecv
a=msid:wYMTpNFKij7CzcLaN2u5APiQxt4M81Ip1k55 8b70ea17-95c5-43c9-9a54-fcfad403524e
a=rtcp-mux
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=ssrc:741282660 cname:CYQLDt5OQeRR5dtb
",2021-05-13 09:38:01.000
82,5307701386123393,2510151603777152,false,true,"v=0
o=FreeSWITCH 1620849900 1620849901 IN IP4 XX.XX.XX.XX
s=FreeSWITCH
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS janus
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 XX.XX.XX.XX
a=sendrecv
a=mid:audio
a=rtcp-mux
a=ice-ufrag:yo0S
a=ice-pwd:zUV08r/l3ErseTgtjCTy5M
a=ice-options:trickle
a=fingerprint:sha-256 DA:3B:2D:F5:E3:49:31:72:CA:B0:EA:E8:35:DC:93:C0:BE:69:27:4B:90:8C:73:74:2E:34:23:ED:13:A3:B9:C0
a=setup:actpass
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=fmtp:101 0-16
a=ptime:20
a=msid:janus janusa0
a=ssrc:4124156742 cname:janus
a=ssrc:4124156742 msid:janus janusa0
a=ssrc:4124156742 mslabel:janus
a=ssrc:4124156742 label:janusa0
a=candidate:1 1 udp 2015363583 192.168.2.82 60718 typ host
a=candidate:4 1 udp 2015363327 XX.XX.XX.XX 41735 typ host
a=end-of-candidates
",2021-05-13 09:56:50.000
83,5307701386123393,2510151603777152,true,false,"v=0
o=- 8164044063725241888 2 IN IP4 127.0.0.1
s=-
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS HGvHbIjMNK3rM9asLBtrL6n7XLbw5GDhp6sw
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 0.0.0.0
a=rtcp:9 IN IP4 0.0.0.0
a=ice-ufrag:BDwU
a=ice-pwd:pIv9zK5ASA1U+tsDMoosao2N
a=ice-options:trickle
a=fingerprint:sha-256 8B:C3:65:48:68:FD:77:81:37:97:DA:A9:D8:D9:51:13:67:39:96:10:27:00:6B:67:0D:54:98:1F:03:FF:82:FD
a=setup:active
a=mid:audio
a=sendrecv
a=msid:HGvHbIjMNK3rM9asLBtrL6n7XLbw5GDhp6sw aa189764-988b-4f47-a973-2c0845fc5f2d
a=rtcp-mux
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=ssrc:3286073339 cname:CJjhAvu/YRg/XxDa
",2021-05-13 09:56:57.000
84,5307701386123393,2510151603777152,false,true,"v=0
o=FreeSWITCH 1620849057 1620849058 IN IP4 XX.XX.XX.XX
s=FreeSWITCH
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS janus
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 XX.XX.XX.XX
a=sendrecv
a=mid:audio
a=rtcp-mux
a=ice-ufrag:jN/E
a=ice-pwd:gvS94Fgyj0/yyG3xUcTzNH
a=ice-options:trickle
a=fingerprint:sha-256 DA:3B:2D:F5:E3:49:31:72:CA:B0:EA:E8:35:DC:93:C0:BE:69:27:4B:90:8C:73:74:2E:34:23:ED:13:A3:B9:C0
a=setup:actpass
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=fmtp:101 0-16
a=ptime:20
a=msid:janus janusa0
a=ssrc:2501456250 cname:janus
a=ssrc:2501456250 msid:janus janusa0
a=ssrc:2501456250 mslabel:janus
a=ssrc:2501456250 label:janusa0
a=candidate:1 1 udp 2015363583 192.168.2.82 56449 typ host
a=candidate:4 1 udp 2015363327 XX.XX.XX.XX 57859 typ host
a=end-of-candidates
",2021-05-13 10:00:51.000
85,5307701386123393,2510151603777152,true,false,"v=0
o=- 3889438319997486308 2 IN IP4 127.0.0.1
s=-
t=0 0
a=group:BUNDLE audio
a=msid-semantic: WMS hVzLOEsKdwaO6QDf7nxrTvhfRMCPyaNV9zWp
m=audio 9 UDP/TLS/RTP/SAVPF 8 101
c=IN IP4 0.0.0.0
a=rtcp:9 IN IP4 0.0.0.0
a=ice-ufrag:rOhy
a=ice-pwd:YbbxKNFfXJ2b0lXNavRajbNx
a=ice-options:trickle
a=fingerprint:sha-256 4D:16:47:FD:B2:E6:40:04:57:2D:28:9D:18:D2:29:79:FF:0A:29:46:83:AB:E0:7B:96:35:30:77:22:7D:A8:62
a=setup:active
a=mid:audio
a=sendrecv
a=msid:hVzLOEsKdwaO6QDf7nxrTvhfRMCPyaNV9zWp 09a75543-1d10-4808-b189-690efaa40345
a=rtcp-mux
a=rtpmap:8 PCMA/8000
a=rtpmap:101 telephone-event/8000
a=ssrc:2697427887 cname:vigD5O9vEb9FhM+M
",2021-05-13 10:00:57.000
